iter	Passed	Remaining
409	4266	16544
410	4277	16538
411	4287	16527
412	4297	16514
413	4307	16501
414	4317	16488
415	4329	16483
416	4339	16474
417	4350	16464
418	4360	16452
419	4369	16438
420	4379	16425
421	4389	16414
422	4400	16404
423	4409	16391
424	4419	16379
425	4429	16367
426	4440	16356
427	4449	16342
428	4459	16331
429	4470	16320
430	4480	16309
431	4490	16299
432	4500	16287
433	4512	16284
434	4525	16281
435	4535	16270
436	4545	16257
437	4555	16246
438	4568	16245
439	4579	16235
440	4589	16223
441	4598	16210
442	4609	16199
443	4619	16189
444	4629	16177
445	4638	16161
446	4648	16150
447	4659	16140
448	4668	16127
449	4678	16115
450	4688	16103
451	4699	16093
452	4709	16084
453	4719	16071
454	4728	16056
455	4738	16046
456	4750	16039
457	4760	16027
458	4770	16017
459	4781	16006
460	4790	15992
461	4800	15981
462	4811	15973
463	4821	15960
464	4831	15948
465	4841	15936
466	4852	15927
467	4862	15916
468	4871	15901
469	4881	15890
470	4891	15879
471	4901	15868
472	4912	15857
473	4921	15844
474	4932	15834
475	4942	15824
476	4952	15812
477	4962	15800
478	4971	15787
479	4981	15775
480	4991	15762
481	5001	15751
482	5012	15741
483	5022	15731
484	5032	15718
485	5041	15706
486	5052	15696
487	5061	15682
488	5071	15672
489	5081	15660
490	5092	15652
491	5104	15645
492	5114	15634
493	5125	15624
494	5135	15612
495	5145	15603
496	5155	15590
497	5165	15579
498	5175	15567
499	5185	15556
500	5195	15545
501	5205	15533
502	5215	15522
503	5226	15513
504	5236	15500
505	5246	15491
506	5256	15480
507	5267	15469
508	5277	15458
509	5287	15448
510	5299	15442
511	5310	15434
512	5320	15422
513	5331	15412
514	5340	15400
515	5350	15389
516	5360	15376
517	5369	15362
518	5378	15348
519	5388	15337
520	5398	15325
521	5408	15314
522	5418	15302
523	5428	15290
524	5438	15280
525	5450	15274
526	5460	15262
527	5470	15251
528	5480	15240
529	5490	15228
530	5500	15216
531	5511	15208
532	5521	15197
533	5531	15187
534	5543	15179
535	5555	15173
536	5565	15161
537	5575	15152
538	5585	15140
539	5596	15130
540	5607	15123
541	5617	15111
542	5627	15098
543	5637	15087
544	5646	15074
545	5657	15066
546	5669	15059
547	5680	15051
548	5691	15042
549	5702	15033
550	5713	15025
551	5724	15015
552	5735	15008
553	5747	15001
554	5759	14996
555	5770	14987
556	5782	14980
557	5793	14971
558	5804	14963
559	5815	14955
560	5827	14947
561	5838	14938
562	5849	14930
563	5860	14921
564	5871	14913
565	5882	14904
566	5894	14898
567	5906	14890
568	5917	14881
569	5928	14873
570	5941	14868
571	5955	14867
572	5967	14860
573	5978	14852
574	5989	14843
575	6001	14838
576	6012	14828
577	6024	14820
578	6036	14814
579	6046	14804
580	6058	14796
581	6069	14787
582	6080	14779
583	6092	14772
584	6104	14764
585	6115	14755
586	6126	14746
587	6137	14738
588	6148	14729
589	6159	14720
590	6172	14715
591	6186	14712
592	6199	14709
593	6212	14705
594	6227	14704
595	6240	14700
596	6253	14695
597	6266	14691
598	6279	14687
599	6292	14683
600	6307	14682
601	6320	14677
602	6335	14677
603	6348	14673
604	6362	14670
605	6375	14664
606	6386	14655
607	6398	14649
608	6409	14640
609	6422	14633
610	6434	14627
611	6445	14617
612	6456	14609
613	6468	14600
614	6479	14592
615	6491	14585
616	6503	14577
617	6514	14569
618	6526	14560
619	6541	14559
620	6553	14552
621	6564	14543
622	6577	14536
623	6590	14533
624	6602	14526
625	6615	14519
626	6627	14512
627	6639	14506
628	6652	14499
629	6663	14491
630	6677	14487
631	6690	14482
632	6705	14480
633	6719	14476
634	6733	14473
635	6748	14473
636	6762	14470
637	6776	14466
638	6790	14462
639	6804	14460
640	6818	14456
641	6832	14451
642	6845	14447
643	6858	14441
644	6873	14439
645	6886	14434
646	6900	14430
647	6914	14425
648	6927	14420
649	6940	14414
650	6953	14409
651	6966	14403
652	6980	14400
653	6994	14395
654	7008	14391
655	7021	14386
656	7035	14380
657	7049	14376
658	7061	14368
659	7075	14364
660	7088	14358
661	7102	14355
662	7116	14350
663	7130	14346
664	7143	14340
665	7156	14335
666	7172	14333
667	7185	14327
668	7198	14321
669	7212	14317
670	7225	14311
671	7240	14308
672	7253	14303
673	7267	14298
674	7281	14293
675	7295	14288
676	7309	14284
677	7323	14279
678	7336	14273
679	7349	14267
680	7364	14263
681	7378	14259
682	7392	14253
683	7405	14247
684	7418	14241
685	7432	14235
686	7445	14229
687	7458	14223
688	7471	14217
689	7485	14211
690	7499	14206
691	7512	14200
692	7525	14193
693	7539	14188
694	7552	14181
695	7564	14171
696	7574	14160
697	7586	14151
698	7598	14142
699	7609	14132
700	7621	14122
701	7634	14116
702	7645	14106
703	7656	14095
704	7667	14084
705	7679	14074
706	7690	14064
707	7701	14054
708	7713	14044
709	7723	14033
710	7734	14022
711	7745	14012
712	7758	14004
713	7770	13994
714	7781	13984
715	7792	13974
716	7804	13964
717	7815	13955
718	7826	13944
719	7838	13934
720	7848	13923
721	7859	13912
722	7870	13901
723	7882	13891
724	7893	13882
725	7905	13872
726	7917	13863
727	7928	13853
728	7940	13843
729	7951	13834
730	7964	13826
731	7975	13815
732	7986	13804
733	7999	13796
734	8012	13789
735	8025	13782
736	8038	13775
737	8051	13768
738	8064	13760
739	8078	13755
740	8091	13747
741	8105	13741
742	8117	13733
743	8130	13726
744	8143	13718
745	8156	13710
746	8170	13704
747	8181	13694
748	8192	13683
749	8205	13675
750	8217	13666
751	8228	13655
752	8239	13644
753	8250	13633
754	8261	13623
755	8273	13614
756	8284	13603
757	8295	13592
758	8308	13584
759	8320	13575
760	8332	13565
761	8343	13556
762	8355	13546
763	8367	13536
764	8378	13525
765	8389	13515
766	8401	13506
767	8413	13497
768	8426	13488
769	8437	13478
770	8449	13467
771	8459	13456
772	8470	13446
773	8482	13435
774	8494	13426
775	8505	13416
776	8516	13405
777	8527	13394
